tanggal,pelanggan_id,card_type,gate_in_boo,amount,status_var,no_body_var,route_code,route_name,tarif
2025-10-07,HAL-001,REG,0,5000,F,LGS_251A,R005,Bandara-Line,5000
2025-10-05,HAL-002,SENIOR,0,2000,F,BRT_123,R005,Kota-Center,2000
2025-10-02,HAL-003,SENIOR,0,3500,S,BRT 2,R010,Bandara-Line,3500
2025-10-03,HAL-004,SENIOR,0,5000,S,LGS_251A,R001,Kota-Center,5000
2025-10-06,HAL-005,REG,1,2000,F,BRT 15,R001,Kota-Center,2000
2025-10-07,HAL-006,SENIOR,1,2000,S,BRT 15,R001,Mall-Express,2000
2025-10-01,HAL-007,STUDENT,1,2000,S,BRT 2,R001,Bandara-Line,2000
2025-10-05,HAL-008,STUDENT,1,3500,F,BRT 15,R001,Bandara-Line,3500
2025-10-01,HAL-009,SENIOR,0,3500,S,BRT 15,R010,Kota-Center,3500
2025-10-01,HAL-010,SENIOR,1,5000,S,BRT 15,R005,Mall-Express,5000
2025-10-06,HAL-011,REG,1,2000,S,BRT 15,R010,Kota-Center,2000
2025-10-06,HAL-012,REG,0,2000,F,LGS_9,R005,Mall-Express,2000
